"period","Metric","Value"
"After","AVG",0.31496062992126
"After","SLG",0.566929133858268
"After","OPS",0.912793795512403
"After","BABIP",0.363636363636364
"After","Hard-Hit Rate",0.489583333333333
"After","K%",0.233082706766917
"After","BB%",0.0451127819548872
"Before","AVG",0.215596330275229
"Before","SLG",0.325688073394495
"Before","OPS",0.575688073394495
"Before","BABIP",0.287769784172662
"Before","Hard-Hit Rate",0.468965517241379
"Before","K%",0.315789473684211
"Before","BB%",0.043859649122807
