"period","pitch_group","Pitches","avgEV","avgLA","hardhitrate","H","TB","AB","BB","HR","K","SF","AVG","SLG","OBP","OPS","BABIP","Kpct","BBpct"
"After","4-Seam Fastball",143,86.7275862068965,31.9310344827586,0.293103448275862,11,15,36,1,1,9,0,0.305555555555556,0.416666666666667,0.324324324324324,0.740990990990991,0.384615384615385,0.243243243243243,0.027027027027027
"After","Curveball",62,85.3181818181818,8.45454545454546,0.363636363636364,1,1,15,0,0,9,0,0.0666666666666667,0.0666666666666667,0.0666666666666667,0.133333333333333,0.166666666666667,0.6,0
"After","Cutter",25,87.3818181818182,17.6363636363636,0.363636363636364,5,6,10,0,0,0,0,0.5,0.6,0.5,1.1,0.5,0,0
"After","Offspeed",41,82.1,4.5625,0.1875,2,4,11,0,0,2,0,0.181818181818182,0.363636363636364,0.181818181818182,0.545454545454545,0.222222222222222,0.181818181818182,0
"After","Sinker",94,85.6475,14.275,0.4,13,21,26,2,2,2,0,0.5,0.807692307692308,0.535714285714286,1.34340659340659,0.5,0.0714285714285714,0.0714285714285714
"After","Slider",70,92.4666666666667,17.4074074074074,0.444444444444444,7,21,21,1,4,6,0,0.333333333333333,1,0.363636363636364,1.36363636363636,0.272727272727273,0.272727272727273,0.0454545454545455
"After","Sweeper",24,81.2,57.3333333333333,0.166666666666667,1,4,5,1,1,1,0,0.2,0.8,0.333333333333333,1.13333333333333,0,0.166666666666667,0.166666666666667
"Before","4-Seam Fastball",326,82.2707317073171,31.3089430894309,0.178861788617886,10,11,70,6,0,23,0,0.142857142857143,0.157142857142857,0.210526315789474,0.367669172932331,0.212765957446809,0.302631578947368,0.0789473684210526
"Before","Curveball",75,81.825,16.5833333333333,0.208333333333333,5,8,17,0,1,8,0,0.294117647058824,0.470588235294118,0.294117647058824,0.764705882352941,0.5,0.470588235294118,0
"Before","Cutter",46,83.8928571428571,31.7857142857143,0.285714285714286,3,3,10,0,0,4,0,0.3,0.3,0.3,0.6,0.5,0.4,0
"Before","Offspeed",94,83.9911764705882,6.2,0.323529411764706,6,12,27,0,2,13,0,0.222222222222222,0.444444444444444,0.222222222222222,0.666666666666667,0.333333333333333,0.481481481481481,0
"Before","Sinker",130,85.658,5.78,0.38,7,7,31,1,0,4,0,0.225806451612903,0.225806451612903,0.25,0.475806451612903,0.259259259259259,0.125,0.03125
"Before","Slider",150,83.0941176470588,10.1176470588235,0.254901960784314,9,16,36,3,2,8,0,0.25,0.444444444444444,0.307692307692308,0.752136752136752,0.269230769230769,0.205128205128205,0.0769230769230769
"Before","Sweeper",75,81.147619047619,18.3809523809524,0.19047619047619,4,10,19,0,2,11,0,0.210526315789474,0.526315789473684,0.210526315789474,0.736842105263158,0.333333333333333,0.578947368421053,0
